VVV-ID,OGLE-ID,Period,Class,__Vmag_,__Imag_,__Jmag_,__Hmag_,__Ksmag_,e__Jmag_,e__Hmag_,e__Ksmag_,E_J-Ks_,Simbad,_RA,_DE
515601356315,T2CEP-002,2.268,BLH,15.188,13.909,13.116,12.766,12.521,0.072,0.072,0.072,0.173,Simbad,256.5625,-33.02433
515601679485,T2CEP-003,1.484,BLH,16.519,15.061,14.24,13.855,13.387,0.104,0.104,0.104,0.29,Simbad,257.16725,-32.90289
515594023082,T2CEP-005,2.008,BLH,18.666,16.842,15.845,15.354,14.788,0.152,0.153,0.15,0.388,Simbad,258.48767,-32.26
515520862858,T2CEP-008,1.183,BLH,17.765,15.97,,14.205,13.935,,0.06,0.058,0.41,Simbad,261.08721,-27.93033
515555436341,T2CEP-009,1.896,BLH,17.63,15.608,13.887,13.343,13.134,0.098,0.098,0.098,0.461,Simbad,261.09287,-29.45986
515534145302,T2CEP-013,1.517,BLH,18.525,16.193,14.55,13.951,13.676,0.117,0.117,0.116,0.588,Simbad,261.99483,-29.43392
515543870338,T2CEP-014,1.239,BLH,15.376,13.59,12.306,11.905,11.613,0.003,0.004,0.092,0.534,Simbad,262.33321,-29.46542
515490128302,T2CEP-015,1.279,BLH,18.087,15.907,14.291,13.712,13.438,0.008,0.01,0.111,0.591,Simbad,263.61708,-27.10525
515522173203,T2CEP-017,1.098,BLH,18.533,16.251,14.371,13.85,13.669,0.091,0.092,0.09,0.636,Simbad,263.78387,-27.52381
515490198825,T2CEP-018,1.62,BLH,18.072,15.99,14.187,13.63,13.339,0.113,0.113,0.113,0.58,Simbad,263.80742,-27.05475
515490273833,T2CEP-020,1.66,BLH,17.966,15.774,14.019,13.553,13.312,0.115,0.115,0.115,0.585,Simbad,263.87137,-26.93144
515499899755,T2CEP-023,14.891,WVI,16.156,13.604,11.893,,10.997,0.24,9.99,0.24,0.597,Simbad,264.14175,-27.30239
515499955358,T2CEP-024,40.228,RVT,16.584,13.612,11.645,11.075,10.359,0.002,0.002,0.203,0.642,Simbad,264.19762,-27.21856
515421109108,T2CEP-025,10.142,WVI,15.85,13.708,12.266,11.867,11.35,0.09,0.09,0.09,0.438,Simbad,264.43012,-22.36931
515467789268,T2CEP-028,11.383,WVI,19.092,16.827,15.118,14.511,14.259,0.123,0.124,0.122,0.644,Simbad,265.21146,-25.06483
515421260605,T2CEP-029,1.498,BLH,16.794,15.238,14.181,13.805,13.622,0.082,0.083,0.082,0.376,Simbad,265.34242,-22.67592
515448153005,T2CEP-030,1.171,BLH,17.723,15.724,14.371,13.804,13.561,0.081,0.081,0.08,0.556,Simbad,265.65846,-23.59939
515448267969,T2CEP-032,16.305,WVI,15.387,13.13,11.72,11.559,11.071,0.001,0.002,0.241,0.492,Simbad,265.78412,-23.44944
