wavelength,flux,flux_error
0.68922913,,
0.69071203,,
0.69219553,2.3218935e-17,4.5044663e-17
0.69367987,-1.00021376e-16,4.3183695e-17
0.6951652,1.8979343e-18,4.332028e-17
0.69665176,3.1647517e-17,4.033943e-17
0.6981398,3.4639144e-17,3.9810856e-17
0.6996295,2.0747427e-18,3.619312e-17
0.701121,-9.106815e-17,3.6207873e-17
0.7026145,1.0091369e-16,3.5692053e-17
0.70411026,1.9856567e-17,3.513499e-17
0.70560837,-2.2357323e-18,3.3996806e-17
0.70710903,-4.3782805e-17,3.340542e-17
0.7086125,-4.7772708e-17,3.2384154e-17
0.7101189,-3.0080793e-18,3.056234e-17
0.7116284,-9.408018e-18,3.0189214e-17
0.7131411,-4.0413616e-17,2.993577e-17
0.71465725,-4.6343137e-18,2.8704894e-17
0.716177,-9.1270824e-17,2.947939e-17
0.7177005,2.7715394e-17,2.8948565e-17
0.71922785,5.6462674e-17,2.836327e-17
0.7207593,1.0581686e-17,2.7972502e-17
0.7222949,3.5646465e-17,2.698091e-17
0.72383493,1.9824528e-17,2.816435e-17
0.7253794,-1.8263415e-17,2.8305237e-17
0.7269285,2.996215e-17,2.6506439e-17
0.72848237,8.299072e-18,2.7135448e-17
0.7300411,7.60705e-18,2.6385124e-17
0.7316049,-3.1589736e-17,2.5411425e-17
0.73317385,-8.300694e-19,2.3715477e-17
0.73474807,-1.6385258e-17,2.3624876e-17
0.73632765,-1.3717547e-17,2.3340729e-17
0.7379128,-4.1838038e-17,2.312852e-17
0.73950356,1.8137366e-17,2.1997394e-17
0.74110013,-1.8402692e-17,2.1371725e-17
0.7427025,2.8773458e-17,2.0660652e-17
0.74431086,3.3406758e-18,2.0558979e-17
0.7459253,-6.8108224e-18,1.9818202e-17
0.74754596,-2.321739e-17,1.96461e-17
0.74917287,2.1729887e-17,1.9527648e-17
0.75080615,2.9649287e-17,2.0219601e-17
0.7524459,-1.2267607e-17,1.9192895e-17
0.7540922,-1.390682e-17,1.9931504e-17
0.75574523,1.0531183e-17,1.9336065e-17
0.7574049,-2.7558712e-17,2.075206e-17
0.7590715,3.040313e-19,2.1578088e-17
0.760745,-8.476477e-17,2.4173642e-17
0.7624255,-4.7086346e-17,2.4048261e-17
0.76411307,-1.741469e-17,2.3829429e-17
0.76580775,-3.8259846e-17,2.2114796e-17
0.7675097,-5.491439e-18,2.0749475e-17
0.7692189,3.164223e-17,1.9624675e-17
0.77093554,2.3248203e-18,1.8749834e-17
0.7726596,-7.560186e-18,1.7957198e-17
0.7743911,2.6090567e-18,1.8248906e-17
0.7761302,-1.5819457e-17,1.7747832e-17
0.777877,-4.226386e-17,1.8164484e-17
0.7796314,-3.4030035e-18,1.7721268e-17
0.78139347,-4.7461183e-18,1.7637564e-17
0.7831634,-6.4115716e-18,1.7015444e-17
0.7849412,-8.921663e-18,1.7503041e-17
0.7867269,8.6870876e-20,1.7228417e-17
0.7885205,2.7292422e-17,1.7573578e-17
0.7903221,-1.0567788e-19,1.704362e-17
0.7921318,3.244835e-18,1.6918744e-17
0.7939495,1.8422528e-17,1.6572688e-17
0.7957753,2.5896507e-17,1.6566894e-17
0.7976093,1.4764841e-17,1.6106365e-17
0.7994515,-6.2100704e-18,1.6043378e-17
0.8013019,-1.7259615e-17,1.5338566e-17
0.80316055,-8.157304e-18,1.5225207e-17
0.80502754,3.1680293e-17,1.4517723e-17
0.8069028,-9.021778e-19,1.4435935e-17
0.80878645,1.4762436e-17,1.35406604e-17
0.8106784,2.5075782e-17,1.3800899e-17
0.8125788,3.791568e-18,1.3513225e-17
0.81448764,2.2862815e-18,1.3677627e-17
0.8164049,3.493743e-18,1.3120417e-17
0.81833065,-1.671545e-17,1.3423683e-17
0.8202648,2.1380521e-17,1.3394482e-17
0.8222075,1.3554452e-19,1.3777074e-17
0.8241587,1.1099615e-17,1.3768884e-17
0.8261184,1.2635559e-17,1.4617023e-17
0.8280867,1.33693935e-17,1.426965e-17
0.83006346,3.2026884e-18,1.515672e-17
0.83204883,2.0882314e-17,1.510626e-17
0.8340427,3.3307317e-17,1.5359945e-17
0.8360452,1.8750269e-17,1.4890354e-17
0.8380562,3.8603133e-17,1.5368169e-17
0.8400758,7.601034e-19,1.4598024e-17
0.84210396,6.8118493e-18,1.4846223e-17
0.8441407,2.4236493e-17,1.4367915e-17
0.846186,3.9313947e-18,1.4200431e-17
0.84823984,7.550972e-18,1.2914577e-17
